CPU:	Idl:	Ker:	Usr:	Mem %:
27.18	72.82	12.62	14.56	47.00
15.38	84.62	8.65	6.73	47.00
36.46	63.54	9.38	27.08	47.00
22.12	77.88	3.85	18.27	47.00
21.15	78.85	6.73	14.42	47.00
13.46	86.54	0.96	12.50	47.00
23.08	76.92	8.65	14.42	47.00
25.74	74.26	6.93	18.81	47.00
19.05	80.95	8.57	10.48	47.00
16.49	83.51	9.28	7.22	47.00
11.54	88.46	4.81	6.73	47.00
22.12	77.88	7.69	14.42	47.00
29.81	70.19	6.73	23.08	47.00
25.00	75.00	5.77	19.23	47.00
17.48	82.52	7.77	9.71	47.00
21.65	78.35	13.40	8.25	47.00
18.27	81.73	4.81	13.46	47.00
23.08	76.92	1.92	21.15	47.00
24.04	75.96	12.50	11.54	47.00
15.38	84.62	6.73	8.65	47.00
34.62	65.38	16.35	18.27	47.00
16.35	83.65	4.81	11.54	47.00
19.79	80.21	7.29	12.50	47.00
18.27	81.73	7.69	10.58	47.00
41.35	58.65	19.23	22.12	47.00
13.46	86.54	3.85	9.62	47.00
13.46	86.54	3.85	9.62	47.00
25.74	74.26	0.99	24.75	47.00
22.45	77.55	7.14	15.31	47.00
13.46	86.54	3.85	9.62	47.00
8.65	91.35	1.92	6.73	47.00
22.12	77.88	10.58	11.54	47.00
20.19	79.81	5.77	14.42	47.00
19.23	80.77	5.77	13.46	47.00
16.83	83.17	3.96	12.87	47.00
23.71	76.29	7.22	16.49	47.00
15.38	84.62	7.69	7.69	47.00
25.00	75.00	9.62	15.38	47.00
29.81	70.19	9.62	20.19	47.00
12.50	87.50	1.92	10.58	47.00
22.12	77.88	9.62	12.50	47.00
11.54	88.46	3.85	7.69	47.00
22.92	77.08	6.25	16.67	47.00
17.31	82.69	3.85	13.46	47.00
19.23	80.77	8.65	10.58	47.00
21.15	78.85	6.73	14.42	47.00
26.92	73.08	9.62	17.31	47.00
33.98	66.02	6.80	27.18	47.00
23.30	76.70	5.83	17.48	47.00
14.43	85.57	5.15	9.28	47.00
18.27	81.73	6.73	11.54	47.00
15.38	84.62	4.81	10.58	47.00
26.92	73.08	9.62	17.31	47.00
20.19	79.81	7.69	12.50	47.00
22.12	77.88	9.62	12.50	47.00
15.53	84.47	3.88	11.65	47.00
10.42	89.58	4.17	6.25	47.00
16.35	83.65	3.85	12.50	47.00
19.23	80.77	7.69	11.54	47.00
18.27	81.73	5.77	12.50	47.00
9.62	90.38	0.96	8.65	47.00
33.65	66.35	16.35	17.31	47.00
26.53	73.47	12.24	14.29	47.00
25.74	74.26	8.91	16.83	47.00
17.31	82.69	4.81	12.50	47.00
19.23	80.77	4.81	14.42	47.00
19.23	80.77	8.65	10.58	47.00
22.12	77.88	5.77	16.35	47.00
28.85	71.15	3.85	25.00	47.00
19.23	80.77	9.62	9.62	47.00
15.62	84.38	5.21	10.42	47.00
8.65	91.35	1.92	6.73	47.00
11.54	88.46	3.85	7.69	47.00
21.15	78.85	1.92	19.23	47.00
19.23	80.77	4.81	14.42	47.00
5.88	94.12	0.98	4.90	47.00
37.76	62.24	17.35	20.41	47.00
16.35	83.65	7.69	8.65	48.00
16.35	83.65	4.81	11.54	48.00
15.38	84.62	6.73	8.65	48.00
14.42	85.58	2.88	11.54	48.00
8.65	91.35	3.85	4.81	48.00
22.33	77.67	4.85	17.48	48.00
24.74	75.26	6.19	18.56	48.00
24.04	75.96	6.73	17.31	48.00
10.58	89.42	2.88	7.69	48.00
24.04	75.96	11.54	12.50	48.00
17.31	82.69	2.88	14.42	48.00
22.12	77.88	9.62	12.50	48.00
28.85	71.15	5.77	23.08	48.00
10.42	89.58	2.08	8.33	48.00
27.88	72.12	8.65	19.23	48.00
18.27	81.73	6.73	11.54	48.00
22.12	77.88	4.81	17.31	48.00
22.12	77.88	8.65	13.46	48.00
25.74	74.26	9.90	15.84	48.00
24.24	75.76	14.14	10.10	47.00
23.08	76.92	1.92	21.15	47.00
17.31	82.69	6.73	10.58	47.00
16.35	83.65	2.88	13.46	47.00
16.35	83.65	5.77	10.58	47.00
24.04	75.96	3.85	20.19	47.00
10.42	89.58	0.00	10.42	47.00
19.23	80.77	4.81	14.42	47.00
29.81	70.19	4.81	25.00	47.00
23.08	76.92	2.88	20.19	47.00
35.58	64.42	12.50	23.08	47.00
14.42	85.58	3.85	10.58	47.00
19.23	80.77	8.65	10.58	47.00
20.83	79.17	6.25	14.58	47.00
16.35	83.65	3.85	12.50	47.00
8.65	91.35	0.96	7.69	47.00
12.50	87.50	1.92	10.58	47.00
14.42	85.58	5.77	8.65	47.00
15.38	84.62	4.81	10.58	47.00
7.29	92.71	2.08	5.21	47.00
12.50	87.50	2.88	9.62	47.00
21.15	78.85	2.88	18.27	47.00
21.15	78.85	3.85	17.31	47.00
29.81	70.19	3.85	25.96	47.00
20.19	79.81	8.65	11.54	47.00
10.42	89.58	3.12	7.29	47.00
14.42	85.58	3.85	10.58	47.00
29.81	70.19	12.50	17.31	47.00
22.12	77.88	4.81	17.31	47.00
15.38	84.62	4.81	10.58	47.00
17.48	82.52	5.83	11.65	47.00
19.42	80.58	4.85	14.56	47.00
22.45	77.55	8.16	14.29	47.00
29.81	70.19	9.62	20.19	47.00
12.50	87.50	4.81	7.69	47.00
8.65	91.35	3.85	4.81	47.00
20.19	79.81	5.77	14.42	47.00
22.33	77.67	4.85	17.48	47.00
22.55	77.45	5.88	16.67	47.00
12.37	87.63	4.12	8.25	47.00
10.58	89.42	2.88	7.69	47.00
15.38	84.62	2.88	12.50	47.00
18.27	81.73	0.96	17.31	47.00
18.27	81.73	3.85	14.42	47.00
15.38	84.62	5.77	9.62	47.00
11.46	88.54	2.08	9.38	47.00
32.69	67.31	9.62	23.08	47.00
17.31	82.69	2.88	14.42	47.00
14.42	85.58	1.92	12.50	47.00
25.96	74.04	11.54	14.42	47.00
14.42	85.58	4.81	9.62	47.00
20.20	79.80	4.04	16.16	47.00
11.00	89.00	2.00	9.00	47.00
21.15	78.85	9.62	11.54	47.00
18.27	81.73	4.81	13.46	47.00
10.58	89.42	8.65	1.92	47.00
18.27	81.73	5.77	12.50	47.00
20.19	79.81	3.85	16.35	47.00
20.41	79.59	8.16	12.24	47.00
24.51	75.49	7.84	16.67	47.00
14.42	85.58	5.77	8.65	47.00
27.88	72.12	12.50	15.38	47.00
18.27	81.73	3.85	14.42	47.00
18.27	81.73	5.77	12.50	47.00
17.48	82.52	4.85	12.62	47.00
9.28	90.72	4.12	5.15	47.00
13.46	86.54	5.77	7.69	47.00
34.62	65.38	14.42	20.19	47.00
23.08	76.92	5.77	17.31	47.00
26.92	73.08	9.62	17.31	47.00
21.15	78.85	3.85	17.31	47.00
13.59	86.41	2.91	10.68	47.00
19.59	80.41	4.12	15.46	47.00
21.15	78.85	9.62	11.54	47.00
20.19	79.81	4.81	15.38	47.00
12.62	87.38	5.83	6.80	47.00
32.69	67.31	10.58	22.12	47.00
14.42	85.58	2.88	11.54	47.00
19.79	80.21	6.25	13.54	48.00
26.92	73.08	7.69	19.23	48.00
12.50	87.50	2.88	9.62	48.00
20.19	79.81	3.85	16.35	48.00
29.81	70.19	5.77	24.04	48.00
27.18	72.82	4.85	22.33	48.00
28.28	71.72	7.07	21.21	48.00
8.91	91.09	1.98	6.93	48.00
12.50	87.50	2.88	9.62	48.00
14.42	85.58	4.81	9.62	48.00
24.04	75.96	8.65	15.38	48.00
25.00	75.00	4.81	20.19	48.00
12.50	87.50	4.17	8.33	48.00
25.96	74.04	7.69	18.27	48.00
21.15	78.85	3.85	17.31	48.00
15.38	84.62	0.96	14.42	48.00
25.00	75.00	7.69	17.31	47.00
14.42	85.58	5.77	8.65	47.00
13.46	86.54	3.85	9.62	48.00
16.67	83.33	8.33	8.33	48.00
16.35	83.65	1.92	14.42	48.00
24.04	75.96	7.69	16.35	48.00
20.19	79.81	5.77	14.42	48.00
21.15	78.85	7.69	13.46	48.00
15.84	84.16	6.93	8.91	48.00
14.14	85.86	3.03	11.11	48.00
23.08	76.92	5.77	17.31	48.00
13.46	86.54	3.85	9.62	48.00
13.46	86.54	4.81	8.65	48.00
22.12	77.88	7.69	14.42	48.00
17.31	82.69	4.81	12.50	48.00
22.77	77.23	4.95	17.82	48.00
17.35	82.65	7.14	10.20	48.00
13.46	86.54	4.81	8.65	48.00
15.38	84.62	3.85	11.54	48.00
19.23	80.77	3.85	15.38	48.00
24.04	75.96	4.81	19.23	48.00
20.19	79.81	6.73	13.46	47.00
23.08	76.92	6.73	16.35	47.00
17.71	82.29	6.25	11.46	47.00
17.31	82.69	4.81	12.50	47.00
20.19	79.81	4.81	15.38	47.00
16.35	83.65	6.73	9.62	47.00
9.62	90.38	1.92	7.69	48.00
22.12	77.88	7.69	14.42	48.00
25.24	74.76	7.77	17.48	48.00
21.65	78.35	5.15	16.49	48.00
18.27	81.73	7.69	10.58	48.00
19.23	80.77	10.58	8.65	48.00
19.23	80.77	3.85	15.38	48.00
20.39	79.61	1.94	18.45	48.00
20.00	80.00	8.57	11.43	48.00
19.23	80.77	9.62	9.62	48.00
9.38	90.62	1.04	8.33	48.00
18.27	81.73	1.92	16.35	48.00
20.19	79.81	1.92	18.27	48.00
21.15	78.85	5.77	15.38	48.00
21.15	78.85	5.77	15.38	48.00
16.35	83.65	7.69	8.65	48.00
20.83	79.17	6.25	14.58	48.00
27.88	72.12	10.58	17.31	48.00
31.73	68.27	4.81	26.92	48.00
27.88	72.12	6.73	21.15	48.00
15.38	84.62	2.88	12.50	48.00
18.63	81.37	8.82	9.80	48.00
14.29	85.71	1.90	12.38	48.00
40.62	59.38	5.21	35.42	48.00
28.85	71.15	8.65	20.19	48.00
23.30	76.70	4.85	18.45	48.00
20.95	79.05	1.90	19.05	48.00
25.00	75.00	4.81	20.19	48.00
26.21	73.79	4.85	21.36	48.00
31.73	68.27	8.65	23.08	48.00
19.79	80.21	3.12	16.67	48.00
21.15	78.85	4.81	16.35	48.00
24.04	75.96	4.81	19.23	48.00
23.08	76.92	0.96	22.12	48.00
24.04	75.96	4.81	19.23	48.00
20.19	79.81	1.92	18.27	48.00
18.27	81.73	3.85	14.42	48.00
21.88	78.12	2.08	19.79	48.00
29.81	70.19	4.81	25.00	48.00
26.92	73.08	4.81	22.12	48.00
21.15	78.85	2.88	18.27	48.00
20.19	79.81	3.85	16.35	48.00
21.15	78.85	1.92	19.23	48.00
22.55	77.45	0.98	21.57	48.00
24.74	75.26	3.09	21.65	48.00
26.92	73.08	4.81	22.12	48.00
21.15	78.85	3.85	17.31	48.00
21.15	78.85	2.88	18.27	48.00
25.00	75.00	3.85	21.15	48.00
21.15	78.85	3.85	17.31	48.00
13.46	86.54	2.88	10.58	48.00
14.58	85.42	6.25	8.33	48.00
11.54	88.46	3.85	7.69	48.00
22.12	77.88	9.62	12.50	48.00
24.04	75.96	6.73	17.31	48.00
22.12	77.88	5.77	16.35	48.00
16.50	83.50	3.88	12.62	48.00
23.30	76.70	8.74	14.56	48.00
17.53	82.47	5.15	12.37	48.00
15.38	84.62	5.77	9.62	48.00
15.38	84.62	3.85	11.54	48.00
9.71	90.29	2.91	6.80	48.00
18.45	81.55	5.83	12.62	48.00
17.65	82.35	4.90	12.75	48.00
21.00	79.00	7.00	14.00	48.00
13.46	86.54	4.81	8.65	48.00
5.77	94.23	0.96	4.81	48.00
13.59	86.41	1.94	11.65	48.00
28.57	71.43	7.62	20.95	48.00
22.12	77.88	4.81	17.31	48.00
31.25	68.75	5.21	26.04	48.00
13.46	86.54	5.77	7.69	48.00
22.12	77.88	7.69	14.42	48.00
19.23	80.77	6.73	12.50	48.00
19.23	80.77	1.92	17.31	48.00
25.96	74.04	6.73	19.23	48.00
12.50	87.50	2.88	9.62	48.00
29.17	70.83	13.54	15.62	48.00
12.50	87.50	4.81	7.69	48.00
30.77	69.23	7.69	23.08	48.00
24.04	75.96	8.65	15.38	48.00
14.42	85.58	4.81	9.62	48.00
18.45	81.55	5.83	12.62	48.00
22.55	77.45	9.80	12.75	48.00
12.37	87.63	6.19	6.19	48.00
29.81	70.19	11.54	18.27	48.00
18.27	81.73	3.85	14.42	48.00
19.23	80.77	2.88	16.35	48.00
19.23	80.77	5.77	13.46	48.00
16.35	83.65	3.85	12.50	48.00
31.25	68.75	12.50	18.75	48.00
14.42	85.58	3.85	10.58	48.00
20.19	79.81	6.73	13.46	48.00
28.85	71.15	3.85	25.00	48.00
18.27	81.73	3.85	14.42	48.00
25.96	74.04	6.73	19.23	48.00
14.42	85.58	6.73	7.69	48.00
12.50	87.50	4.17	8.33	48.00
19.23	80.77	6.73	12.50	48.00
26.92	73.08	5.77	21.15	48.00
15.38	84.62	2.88	12.50	48.00
